ham,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
ham,"All day working day:)except saturday and sunday.."
ham,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember."
ham,"I'm awake oh. What's up."
ham,"Aight what time you want me to come up?"
ham,"All done? All handed in? Celebrations in full swing yet?"
ham,"How? Izzit still raining?"
ham,"Really do hope the work doesnt get stressful. Have a gr8 day."
spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
ham,"Pls pls find out from aunt nike."
ham,"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!"
ham,"I accidentally brought em home in the box"
ham,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with"
ham,"Good morning princess! How are you?"
ham,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!"
ham,"Oh ok no prob.."
ham,"Hi mom we might be back later than  &lt;#&gt; "
ham,"Ok"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... "
ham,"Watching tv lor. Nice one then i like lor."
ham,"Yeah, give me a call if you've got a minute"
ham,"Okie... Thanx..."
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062"
ham,"Call me. I m unable to cal. Lets meet bhaskar, and deep"
ham,"K I'll head out in a few mins, see you there"
ham,"I'm not sure if its still available though"
ham,":-( that's not v romantic!"
spam,"You have won a guaranteed ?200 award or even ?1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP"
ham,"S:)but he had some luck.2 catches put down:)"
ham,"Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then."
ham,"No worries, hope photo shoot went well. have a spiffing fun at workage. "
ham,"He is world famamus...."
ham,"Later i guess. I needa do mcat study too."
ham,"Wat ?_ doing now?"
ham,"Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly."
ham,"Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago."
ham,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think."
ham,"Great escape. I fancy the bridge but needs her lager. See you tomo "
ham,"Or remind me in a few hrs."
ham,"How did you find out in a way that didn't include all of these details"
ham,"Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x"
ham,"Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!"
ham,"Ya but it cant display internal subs so i gotta extract them"
ham,"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta."
ham,"Gosh that , what a pain. Spose I better come then."
ham,"No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x"
ham,"Many times we lose our best ones bcoz we are "
ham,"Lol no ouch but wish i'd stayed out a bit longer"
ham,"Even if he my friend he is a priest call him now"
ham,"With my sis lor... We juz watched italian job."
ham,"Customer place i will call you."
ham,"I'm glad. You are following your dreams."
ham,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now..."
ham,"Are you this much buzy"
ham,"I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ..."
ham,"Ok which your another number"
ham,"Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already."
ham,"will you like to be spoiled? :)"
ham,"You intrepid duo you! Have a great time and see you both soon. "
ham,"Its a great day. Do have yourself a beautiful one."
ham,"Oi when you gonna ring"
ham,"Call him and say you not coming today ok and tell them not to fool me like this ok"
ham,"Nope... Juz off from work..."
ham,"Can you use foreign stamps for whatever you send them off for? "
ham,"How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed."
ham,"How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!"
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE"
ham,"So that means you still think of teju"
ham,"I wanted to wish you a Happy New Year and I wanted to talk to you about some legal advice to do with when Gary and I split but in person. I'll make a trip to Ptbo for that. I hope everything is good with you babe and I love ya :)"
spam,"Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!"
ham,"I'll probably be by tomorrow (or even later tonight if something's going on)"
ham,"You will be in the place of that man"
ham,"Delhi and chennai still silent."
spam,"Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY ?10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg"
ham,"Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon."
ham,"K.k:)when are you going?"
ham,"U know we watchin at lido?"
ham,"Glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work."
ham,"Love you aathi..love u lot.."
ham,"That's the trouble with classes that go well - you're due a dodgey one ??_ Expecting mine tomo! See you for recovery, same time, same place "
ham,"Double eviction this week - Spiral and Michael and good riddance to them!"
ham,"Yes:)here tv is always available in work place.."
ham,"Well good morning mr . Hows london treatin' ya treacle?"
ham,"Hey leave it. not a big deal:-) take care."
ham,"Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit"
ham,"2mro i am not coming to gym machan. Goodnight."
spam,"Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D"
ham,"I was gonna ask you lol but i think its at 7"
ham,"Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap"
ham,"Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging "
ham,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?"
ham,"I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?"
ham,"I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob"
ham,"Kindly send some one to our flat before  &lt;DECIMAL&gt;  today."
ham,"Well boy am I glad G wasted all night at applebees for nothing"
ham,"Indeed and by the way it was either or - not both !"
ham,"But i juz remembered i gotta bathe my dog today.."
ham,"G.W.R"
ham,"Dad went out oredi... "
ham,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs."
spam,"FROM 88066 LOST ?12 HELP"
ham,"We can make a baby in yo tho"
ham,"I'm back, lemme know when you're ready"
ham,"No calls..messages..missed calls"
ham,"Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you"
ham,"Just sleeping..and surfing"
ham,"Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?"
ham,"Are you sure you don't mean \get here"
ham,", ow u dey.i paid 60,400thousad.i told  u would call . "
ham,"HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH."
ham,"I'm always looking for an excuse to be in the city."
ham,";-( oh well, c u later"
